date;hour;value;lat;lon;height
"2020-01-29";"03:00";15.64;53.75;15.8;750
"2020-01-29";"03:00";22.69;54.25;15.8;750
"2020-01-29";"03:00";29.22;54.75;15.8;750
"2020-01-29";"03:00";22.07;49.25;16.6;750
"2020-01-29";"03:00";23.6;49.75;16.6;750
"2020-01-29";"03:00";19.57;50.25;16.6;750
"2020-01-29";"03:00";16.6;50.75;16.6;750
"2020-01-29";"03:00";17.41;51.25;16.6;750
"2020-01-29";"03:00";15.1;51.75;16.6;750
"2020-01-29";"03:00";22.06;52.25;16.6;750
"2020-01-29";"03:00";12.66;52.75;16.6;750
"2020-01-29";"03:00";15.16;53.25;16.6;750
"2020-01-29";"03:00";17.4;53.75;16.6;750
"2020-01-29";"03:00";28.69;54.25;16.6;750
"2020-01-29";"03:00";30.79;54.75;16.6;750
"2020-01-29";"03:00";22.97;49.25;17.4;750
"2020-01-29";"03:00";23.28;49.75;17.4;750
"2020-01-29";"03:00";18.99;50.25;17.4;750
"2020-01-29";"03:00";20.66;50.75;17.4;750
"2020-01-29";"03:00";18.81;51.25;17.4;750
"2020-01-29";"03:00";16.86;51.75;17.4;750
"2020-01-29";"03:00";20.1;52.25;17.4;750
"2020-01-29";"03:00";14.35;52.75;17.4;750
"2020-01-29";"03:00";16.58;53.25;17.4;750
"2020-01-29";"03:00";16.44;53.75;17.4;750
"2020-01-29";"03:00";29.5;54.25;17.4;750
"2020-01-29";"03:00";32.7;54.75;17.4;750
"2020-01-29";"03:00";23.67;49.25;18.2;750
"2020-01-29";"03:00";22.18;49.75;18.2;750
"2020-01-29";"03:00";22.48;50.25;18.2;750
"2020-01-29";"03:00";22.69;50.75;18.2;750
"2020-01-29";"03:00";17.93;51.25;18.2;750
"2020-01-29";"03:00";19.46;51.75;18.2;750
"2020-01-29";"03:00";18.48;52.25;18.2;750
"2020-01-29";"03:00";15.7;52.75;18.2;750
"2020-01-29";"03:00";17.11;53.25;18.2;750
"2020-01-29";"03:00";19.12;53.75;18.2;750
"2020-01-29";"03:00";28.02;54.25;18.2;750
"2020-01-29";"03:00";33.59;54.75;18.2;750
"2020-01-29";"03:00";17.88;49.25;19;750
"2020-01-29";"03:00";22.79;49.75;19;750
"2020-01-29";"03:00";23.58;50.25;19;750
"2020-01-29";"03:00";23.18;50.75;19;750
"2020-01-29";"03:00";18.01;51.25;19;750
"2020-01-29";"03:00";22.12;51.75;19;750
"2020-01-29";"03:00";16.18;52.25;19;750
"2020-01-29";"03:00";17.75;52.75;19;750
"2020-01-29";"03:00";16.77;53.25;19;750
"2020-01-29";"03:00";22.9;53.75;19;750
"2020-01-29";"03:00";28.07;54.25;19;750
"2020-01-29";"03:00";36.81;54.75;19;750
"2020-01-29";"03:00";11.61;49.25;19.8;750
"2020-01-29";"03:00";22.79;49.75;19.8;750
"2020-01-29";"03:00";22.84;50.25;19.8;750
"2020-01-29";"03:00";24.12;50.75;19.8;750
"2020-01-29";"03:00";18.25;51.25;19.8;750
"2020-01-29";"03:00";22.23;51.75;19.8;750
"2020-01-29";"03:00";14.73;52.25;19.8;750
"2020-01-29";"03:00";19.85;52.75;19.8;750
"2020-01-29";"03:00";18.99;53.25;19.8;750
